Name,Online_order,Book_table,Rate,Votes,Dish_liked,Approx_cost(for two people)
Jalsa,1,Yes,4.1 out of 5,775,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup",800
Spice Elephant,1,No,4.1 out of 5,787,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani",800
San Churro Cafe,1,No,3.8 out of 5,918,"Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza",800
Addhuri Udupi Bhojana,0,No,3.7 out of 5,88,Masala Dosa,300
Grand Village,0,No,3.8 out of 5,166,"Panipuri, Gol Gappe",600
Timepass Dinner,1,No,3.8 out of 5,286,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",600
Onesta,1,Yes,4.6 out of 5,2556,"Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza",600
Penthouse Cafe,1,No,4.0 out of 5,324,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches",700
Smacznego,1,No,4.2 out of 5,504,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos",550
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,1,No,4.1 out of 5,402,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",500
Cafe Shuffle,1,Yes,4.2 out of 5,150,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos",600
The Coffee Shack,1,Yes,4.2 out of 5,164,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread",500
Caf-Eleven,0,No,4.0 out of 5,424,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino",450
Cafe Vivacity,1,No,3.8 out of 5,90,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",650
Catch-up-ino,1,No,3.9 out of 5,133,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi",800
Kirthi's Biryani,1,No,3.8 out of 5,144,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails",700
T3H Cafe,0,No,3.9 out of 5,93,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata",300
The Vintage Cafe,1,No,3.0 out of 5,62,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea",400
Woodee Pizza,1,No,3.7 out of 5,180,"Pizza, Garlic Bread",500
My Tea House,1,No,3.6 out of 5,62,"Pasta, Iced Tea",600
Srinathji's Cafe,0,No,3.8 out of 5,148,"Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda",550
Redberrys,1,No,4.0 out of 5,219,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam",600
Foodiction,1,No,2.8 out of 5,506,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani",500
Ovenstory Pizza,1,No,3.9 out of 5,172,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",750
Faasos,1,No,4.2 out of 5,415,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap",500
Behrouz Biryani,1,No,3.9 out of 5,230,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",650
Szechuan Dragon,1,No,4.2 out of 5,1647,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken",600
Empire Restaurant,1,No,4.4 out of 5,4884,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice",750
Chaatimes,1,No,3.8 out of 5,133,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri",200
McDonald's,1,No,3.9 out of 5,286,"Burgers, Fries, Hot Chocolate",500
Domino's Pizza,1,No,3.9 out of 5,540,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos",800
Hotboxit,0,No,3.8 out of 5,36,Prompt Service,400
Kitchen Garden,1,No,3.6 out of 5,244,Biryani,300
Recipe,1,No,4.0 out of 5,804,"Butter Chicken, Noodles, Thali, Biryani",450
Beijing Bites,1,No,3.7 out of 5,679,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice",850
Tasty Bytes,1,No,3.1 out of 5,245,"Paratha, Pasta",300
Corner House Ice Cream,0,No,4.3 out of 5,345,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse",400
Biryanis And More,1,No,4.0 out of 5,618,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani",750
Roving Feast,0,No,4.0 out of 5,1047,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti",450
FreshMenu,1,No,3.9 out of 5,627,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza",450
Wamama,1,Yes,4.2 out of 5,354,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll",800
Peppy Peppers,0,No,4.2 out of 5,244,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup",800
Goa 0 Km,1,Yes,3.6 out of 5,163,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken",800
1947,0,Yes,4.0 out of 5,808,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup",850
Kabab Magic,1,No,4.1 out of 5,1720,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls",400
Gustoes Beer House,0,No,4.1 out of 5,868,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","1,200"
The Biryani Cafe,0,No,4.1 out of 5,520,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani",300
Rolls On Wheels,0,No,3.6 out of 5,299,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll",300
Sri Guru Kottureshwara Davangere Benne Dosa,1,No,4.1 out of 5,558,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",150
Upahar Sagar,0,No,3.8 out of 5,39,Masala Dosa,350
Frozen Bottle,1,No,4.2 out of 5,146,"Berryblast, Waffles, Cheesecake, Salted Caramel",400
Meghana Foods,1,No,4.4 out of 5,4401,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita",600
Nandhini Deluxe,0,No,2.6 out of 5,283,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",600
Vi Ra's Bar and Restaurant,0,No,3.3 out of 5,62,Chilli Chicken,800
Chatar Patar,0,No,3.7 out of 5,65,"Panipuri, Chaat, Noodles, Dahi Bhalle",300
Polar Bear,1,No,3.8 out of 5,71,Hot Chocolate Fudge,400
Kidambi's Kitchen,0,No,3.5 out of 5,52,Rooftop Ambience,300
Mane Thindi,0,No,3.7 out of 5,130,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",200
Floured-Baked With Love,0,No,3.8 out of 5,45,"Cup Cake, Chocolate Cake",400
Bengaluru Coffee House,1,No,4.1 out of 5,201,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli",300
Anna Kuteera,1,No,4.0 out of 5,771,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa",450
Darbar,0,No,3.0 out of 5,98,"Paneer Tikka, Dal Kichadi, French Fries",800
